gene,importance
TMEM123,0.027530083
AP001830.1,0.10953712
MMP3,0.13438684
PDGFD,0.05428034
CASP4,0.07506963
CASP1,0.07601941
POU2AF1,0.041906342
LAYN,0.06619833
CRYAB,0.06603042
IL18,0.020774966
TMPRSS5,0.22417484
AP000462.1,0.021542832
APOA1-AS,0.16486503
TAGLN,0.035722397
IL10RA,0.09255452
SMIM35,0.12935498
TMPRSS4,0.12830658
MPZL2,0.31872615
PHLDB1,0.03488427
MCAM,0.028762767
AP001360.1,0.17593263
ESAM,0.024671212
ROBO4,0.073545925
HEPN1,0.0089008
AP002833.2,0.37864375
AP003481.1,0.17146742
ETS1,0.05799827
AP003397.1,0.35670194
FLI1,0.043187737
SENCR,0.28483364
KCNJ5,0.034220904
NTM-AS1,0.035780277
AC215217.1,0.2637703
AL358216.1,0.02000723
ADARB2,0.08180002
AKR1C2,0.054405514
AL596094.1,0.1619057
AL137186.2,0.27526698
PRKCQ,0.012354329
AL590637.1,0.07793041
SFMBT2,0.025989115
AL139125.1,0.26555657
ITIH5,0.038832262
LINC00709,0.30796805
AC044781.1,0.04343587
FAM107B,0.010703336
ITGA8,0.105706654
ST8SIA6,0.06126057
MRC1,0.14261608
AC069023.1,0.19300176
SLC39A12,0.10583651
PLXDC2,0.053335715
AL158211.3,0.28216752
AL513128.2,0.03328463
PIP4K2A,0.02317608
KIAA1217,0.030437598
LINC00836,0.09808252
APBB1IP,0.06166457
MAP3K8,0.07426658
PARD3,0.025138482
AL365500.1,0.6815832
FXYD4,0.101857126
DEPP1,0.039048526
ALOX5,0.12920146
ANXA8,0.010679171
ARHGAP22,0.020129504
WDFY4,0.03214958
FAM170B,0.18940397
TMEM273,0.07806624
LINC01468,0.2126164
AC074327.1,0.08338692
PCDH15,0.03649506
AL353784.1,0.08032232
LINC00844,0.036370706
AC025038.1,0.055359002
LINC01515,0.14900614
AC022017.1,0.11030939
SRGN,0.15377973
TSPAN15,0.029252848
PALD1,0.10780597
ADAMTS14,0.057578355
VSIR,0.07950111
CHST3,0.035601012
DDIT4,0.12703851
LRMDA,0.11147203
ZCCHC24,0.023093022
LDB3,0.028609976
ADIRF,0.07772067
NUTM2D,0.32571915
LIPN,0.2841936
ANKRD22,0.06540218
CH25H,0.11891163
IFIT3,0.014461664
SLC16A12,0.12646757
SLC16A12-AS1,0.10839837
PPP1R3C,0.17215425
HHEX,0.172682
MYOF,0.037816416
TBC1D12,0.017729243
ENTPD1,0.044526707
BLNK,0.048686456
OPALIN,0.07123668
PIK3AP1,0.064002745
AL139241.1,0.14698316
HPSE2,0.044045877
SCD,0.08076554
OLMALINC,0.018843966
PITX3,0.2220384
ITPRIP,0.0875477
AL158212.2,0.31893897
EMX2,0.04951785
RGS10,0.07242811
PLPP4,0.03430218
FAM53B-AS1,0.06610254
C10orf90,0.016580665
FAM196A,0.034795865
MKI67,0.22804868
NKX6-2,0.022304893
VENTX,0.26436102
AL360181.1,0.16245796
SLC6A12,0.07228978
AC007406.4,0.119013846
NINJ2,0.013607569
AC021054.1,0.04231755
LINC02455,0.063821815
AC005342.2,0.2447138
LINC00940,0.035981905
ANO2,0.026823109
VWF,0.052336987
AC005845.1,0.026054094
CD9,0.087068655
AC005840.2,0.29642665
LPAR5,0.15511386
AC125494.2,0.1094296
CD4,0.046214323
CD163,0.18481688
SLC2A3,0.021957459
C3AR1,0.09591901
CLEC4E,0.29099932
A2M,0.013857688
CLECL1,0.06238325
CD69,0.3048532
CLEC2B,0.12269962
KLRF2,0.35317838
CLEC9A,0.052817076
CLEC1A,0.21952973
CLEC7A,0.06376732
OLR1,0.2142673
AC022075.1,0.06344926
DUSP16,0.01603232
APOLD1,0.07383866
EMP1,0.10918567
MGP,0.16049176
ERP27,0.29127738
ARHGDIB,0.082161166
EPS8,0.0037749943
PDE3A,0.115089536
SLCO1C1,0.05676193
SLCO1B1,0.050459992
SLCO1A2,0.034337673
LMNTD1,0.060416963
RASSF8,0.060964797
BHLHE41,0.03193969
ITPR2,0.023046628
AC087257.1,0.36902937
AC012150.1,0.097036876
AC012150.2,0.12751786
SINHCAF,0.08021923
FGD4,0.035707112
PDZRN4,0.10412502
AC008014.1,0.039474394
AC079906.1,0.25323558
RAPGEF3,0.012281381
SLC48A1,0.031995807
AC004466.3,0.24721181
METTL7A,0.11230638
AC008121.3,0.25540352
BIN2,0.13022365
GALNT6,0.08807293
AC107031.1,0.13093966
ACVRL1,0.1688117
KRT1,0.34513012
TNS2,0.020920709
LINC02381,0.17082596
GPR84,0.21536082
ITGA5,0.06040712
NCKAP1L,0.010964632
LACRT,0.18936765
ERBB3,0.019161532
TAC3,0.124674745
LRP1-AS,0.39720118
NDUFA4L2,0.018073358
AC068305.2,0.058359187
AC108721.1,0.02531965
LINC01465,0.52127105
SRGAP1,0.008996186
WIF1,0.014352639
IRAK3,0.065851085
GRIP1,0.013577405
IFNG-AS1,0.02357495
CPM,0.050677225
LYZ,0.1330712
BEST3,0.06535707
AC084032.1,0.04560001
LGR5,0.024642756
AC090502.1,0.0732158
ACSS3,0.08465383
TMTC2,0.014104274
LUM,0.073017776
DCN,0.06467718
LINC02391,0.2449764
LINC02397,0.15963094
AC012464.3,0.124485455
AC023161.1,0.19903333
TMCC3,0.014358558
AC138360.1,0.25430617
AC063947.1,0.38323188
CHST11,0.056295823
TCP11L2,0.021631308
RFX4,0.04740079
ASCL4,0.16093965
CMKLR1,0.10014093
TMEM119,0.20284474
SELPLG,0.1392739
FAM222A,0.0069120377
FAM222A-AS1,0.03580136
GLTP,0.025712267
TBX3,0.30969164
AC125603.3,0.10888972
AC079949.1,0.10545546
LINC02393,0.26428616
TMEM132C,0.0093063
AC026336.2,0.108286835
GJB6,0.013483251
LATS2-AS1,0.12501223
SPATA13-AS1,0.40462223
PARP4,0.015196413
AMER2,0.02320061
LINC00463,0.16903801
AL136439.1,0.033290315
FLT1,0.08107362
ALOX5AP,0.04670028
AL139383.1,0.017028017
AL354809.1,0.039886367
LINC00598,0.03318
FOXO1,0.031880647
ELF1,0.029358262
RGCC,0.09433291
EPSTI1,0.074565135
CCDC122,0.075684644
AL512506.3,0.056000527
CPB2-AS1,0.017847352
CPB2,0.031359937
LCP1,0.019616557
LRRC63,0.036214884
LPAR6,0.047214027
CYSLTR2,0.08632351
ARL11,0.037703477
DLEU7-AS1,0.08477373
FAM124A,0.024964312
NEK3,0.04923061
LINC00374,0.26541236
PCDH9-AS1,0.04569173
ATXN8OS,0.11374333
SCEL,0.035781384
RNF219-AS1,0.089580834
GPC5,0.025677348
GPC6,0.04729305
DCT,0.040534068
ABCC4,0.006340062
GPR183,0.081901185
TMTC4,0.045514707
MYO16,0.019901719
LINC00676,0.09876216
AL355974.2,0.12630863
RAB20,0.05625649
ATP11A-AS1,0.063204505
AL137002.1,0.1213715
GRK1,0.24267119
RNASE6,0.036294647
RNASE1,0.09577348
RNASE3,0.09255463
RNASE2,0.22816533
MMP14,0.105123974
CEBPE,0.26888463
CMTM5,0.09860108
LTB4R2,0.122669615
NFATC4,0.015951706
GZMH,0.30989078
LINC02588,0.031273853
AL110292.1,0.041433487
AL139023.1,0.06450432
EGLN3,0.01880181
CFL2,0.033468124
AL121603.2,0.19777636
PSMA6,0.27763972
NFKBIA,0.06645636
LINC00609,0.05608575
AL162511.1,0.029288014
AL392023.2,0.07166823
CLEC14A,0.027283326
LINC00639,0.018415563
AL121809.2,0.30253357
AL591770.1,0.13196285
SAMD4A,0.033366602
PRKCH,0.030075148
AL355916.3,0.14266725
LINC01303,0.2381851
HIF1A-AS2,0.030352654
HSPA2,0.03274831
PLEKHG3,0.006431045
PLEK2,0.22453456
PLEKHH1,0.04616346
RAD51B,0.03791033
ZFP36L1,0.03227751
SMOC1,0.079263285
AC005520.5,0.05245689
AC013451.1,0.28518146
PGF,0.023678571
FOS,0.09677265
FLVCR2,0.026474768
AC008050.1,0.058330048
STON2,0.014844562
LINC02328,0.06706614
GPR65,0.22254293
LINC01146,0.0548925
KCNK13,0.091874
RIN3,0.16088064
PRIMA1,0.04914543
IFI27,0.065502115
SERPINA1,0.5672855
AL132708.1,0.1828085
CLMN,0.04529472
C14orf177,0.22723915
EXOC3L4,0.05825129
ZBTB42,0.11257341
PLD4,0.03268948
FAM30A,0.44617024
MKRN3,0.0283622
PWRN2,0.081237085
ATP10A,0.07934771
GREM1,0.014972954
RYR3,0.09935238
AVEN,0.13864307
CHRM5,0.23344676
LINC02345,0.058693174
AC087473.1,0.089670874
THBS1,0.3694943
DLL4,0.14194928
PATL2,0.11206613
B2M,0.022290764
AC068722.2,0.18304963
AC073941.1,0.017295642
SHC4,0.0214452
ATP8B4,0.028394492
AC025040.1,0.4266133
AC012100.2,0.17934036
GLDN,0.08013716
AC066613.2,0.016250184
CGNL1,0.029984793
AC092757.3,0.23940785
MYO1E,0.034012865
ANXA2,0.047821373
AC104574.2,0.0971581
AC104574.1,0.11281562
C2CD4B,0.050753724
DAPK2,0.09401453
SNX22,0.04636739
RASL12,0.093354106
MEGF11,0.023892164
SMAD6,0.14376767
AC026992.2,0.25057948
UACA,0.086150855
LARP6,0.038500946
THSD4,0.009486797
AC105020.3,0.39010212
AC105020.6,0.2674995
CSPG4,0.036051143
ISL2,0.17137003
ACSBG1,0.014645827
BCL2A1,0.12284263
CEMIP,0.06324122
ADAMTSL3,0.053732574
ZNF710,0.0039689676
AC107958.2,0.2149487
AC116903.2,0.029618194
RGMA,0.050753597
NR2F2-AS1,0.06553193
AC015712.1,0.046607208
AC015712.4,0.018296948
PCSK6,0.045457873
HBA2,0.19547267
HBA1,0.048399415
MSLN,0.17708498
LMF1-AS1,0.05829941
SOX8,0.015192521
TMEM204,0.033007994
AC009065.1,0.15176979
AC093525.3,0.1988075
AC092117.1,0.1838591
AC108134.3,0.30227765
LINC02177,0.08438941
AC007221.1,0.047655437
AC007221.2,0.034132574
EMP2,0.07101954
CIITA,0.0598589
AC099489.3,0.14964548
LITAF,0.06375214
AC007601.1,0.3920749
NDE1,0.038269084
MYH11,0.023065588
AF001548.2,0.078296915
AC136624.1,0.083704
XYLT1,0.08042192
TMC7,0.022035504
AC099518.2,0.15635978
CLEC19A,0.08943343
AC130456.5,0.35846353
CCP110,0.07202125
KNOP1,0.09099246
AC027130.1,0.09527477
ACSM5,0.08256977
IGSF6,0.072247416
SLC5A11,0.053560734
HS3ST4,0.048716944
LINC02129,0.118432246
IL4R,0.05074804
AC016597.1,0.056871384
APOBR,0.21644433
NUPR1,0.17761545
AC109460.4,0.06299704
AC009093.1,0.24516506
AC106782.6,0.4051672
PYCARD,0.031787906
ITGAM,0.054940823
ITGAX,0.0058468706
LINC01566,0.25176403
ADCY7,0.051985547
NKD1,0.01603913
SNX20,0.3813436
NOD2,0.25155607
AC025810.1,0.11071488
AC027688.1,0.3776221
AC087564.1,0.04075615
HNRNPA1P48,0.016646005
LPCAT2,0.038168352
SLC6A2,0.1533147
MT2A,0.037042778
MT1E,0.01140301
MT1M,0.0386626
MT1A,0.045865804
MT1F,0.06308141
MT1G,0.036843292
MT1H,0.030012274
MT1X,0.05500701
CPNE2,0.04442771
AC009090.3,0.1136626
PLLP,0.073034205
ADGRG1,0.033962455
AC009055.2,0.26302576
CDH5,0.08874413
CBFB,0.027207255
TPPP3,0.13232529
NRN1L,0.22679178
DPEP3,0.23030949
DPEP2,0.111263625
ESRP2,0.13262637
CDH1,0.02007447
AC099314.1,0.10435804
CALB2,0.13832791
LINC01572,0.027636567
AC116667.1,0.10976124
MLKL,0.025382506
FA2H,0.012578004
AC009163.1,0.042733938
AC099511.1,0.095515765
CNTNAP4,0.025171071
ADAMTS18,0.12592556
AC084064.1,0.50903875
AC009063.2,0.10523665
CRISPLD2,0.049630463
IRF8,0.08980185
FENDRR,0.33090332
FOXF1,0.226847
FOXC2,0.064580664
AC009154.1,0.2950044
CYBA,0.088561855
OR1A1,0.18128915
SPATA22,0.014071141
ASPA,0.05699593
P2RX1,0.056195844
CXCL16,0.07017908
ZMYND15,0.034732316
TM4SF5,0.39975753
AC012146.3,0.39735758
XAF1,0.048354674
CLDN7,0.1336503
AC016876.3,0.24303477
CD68,0.10431624
ATP1B2,0.041057583
AC129492.1,0.3388997
PIK3R5,0.042494655
PMP22,0.05949818
EVPLL,0.100353755
AC015726.2,0.2137428
LGALS9,0.038817104
AC068025.2,0.056680728
ABHD15-AS1,0.036666233
TMIGD1,0.18547325
ADAP2,0.016959714
EVI2B,0.04518417
AC134669.1,0.02823325
EVI2A,0.050184246
TMEM98,0.030018063
CCL2,0.13697056
CCL8,0.5361552
AC060766.6,0.12999137
SLFN12,0.19319189
CCL3,0.51863164
CCL4,0.42296502
CCL3L1,0.34675637
CCL4L2,0.27652916
ARHGAP23,0.014490847
CSF3,0.34404325
CAVIN1,0.025115855
AC060780.1,0.11894842
TMEM106A,0.05320987
LINC00854,0.18894641
NAGS,0.16848809
SLC4A1,0.04201347
FZD2,0.41192985
HIGD1B,0.020360885
GFAP,0.062399756
AC018521.7,0.20715852
HOXB2,0.45222592
HOXB-AS1,0.07411338
HOXB3,0.25827977
ABI3,0.022533821
NGFR,0.018514335
AC015909.3,0.08317702
AC091062.1,0.03921014
CA10,0.062093478
AC015912.3,0.624847
CUEDC1,0.023680111
AC015845.1,0.01482254
AC015813.4,0.18397647
AC004687.1,0.29548553
SEPT4,0.06364789
AC046185.1,0.06125517
ICAM2,0.17302924
PECAM1,0.09921949
MILR1,0.051451415
PITPNC1,0.086631455
FAM20A,0.060877204
ABCA8,0.03773188
ABCA9-AS1,0.04868031
ABCA6,0.08005882
KCNJ2-AS1,0.055842865
KCNJ2,0.091663115
SOX9,0.02567786
LINC00511,0.031402115
LINC02092,0.18888955
TTYH2,0.0075946334
KIF19,0.06350619
BTBD17,0.056704327
CD300A,0.22412072
CD300C,0.18358499
OTOP2,0.30878606
HID1-AS1,0.14277875
AC011933.4,0.029924905
MYO15B,0.03990306
SMIM5,0.023579592
ITGB4,0.07369713
RHBDF2,0.13637583
TMC6,0.073247544
TMC8,0.10813608
SYNGR2,0.010358252
TK1,0.17470865
AFMID,0.022363907
TMEM235,0.030994026
DNAH17,0.11059326
AC022966.1,0.3834804
AC100788.1,0.27644217
LINC01978,0.038074616
LINC00482,0.06403787
AC110285.1,0.026732795
SECTM1,0.2506893
FN3K,0.12264848
AP005530.1,0.145856
COLEC12,0.12777042
TYMS,0.034793872
ENOSF1,0.09600224
AP001020.1,0.0937677
AP000894.4,0.056509018
PTPRM,0.035987187
RAB31,0.039194178
LINC01254,0.12297683
APCDD1,0.03354697
PIEZO2,0.04393819
AP001180.4,0.23721318
AP001010.1,0.42355576
LINC01444,0.11208912
AP005242.1,0.16769736
GREB1L,0.057028253
AC015878.1,0.036054026
AC106037.2,0.17881553
AC091043.1,0.5347807
CABLES1,0.08588362
AQP4,0.044044673
CHST9,0.060243
AC016382.1,0.31040362
TTR,0.42556286
RNF125,0.027255775
DTNA,0.034663245
AC090386.1,0.3251485
LINC01477,0.2941141
SLC14A1,0.13190098
PSTPIP2,0.077285744
AC100778.3,0.09310371
LINC01630,0.04652156
AC006305.1,0.067114554
PMAIP1,0.3425349
RNF152,0.057457834
AC064801.1,0.26976976
CDH19,0.07793491
AC110597.3,0.010641995
RTTN,0.006600315
SOCS6,0.021062367
AC069114.1,0.023968145
CBLN2,0.100403994
FAM69C,0.03603122
CNDP1,0.07541267
AC009704.1,0.15963115
C18orf65,0.31060508
MBP,0.04574895
AC114341.1,0.10352733
SLC52A3,0.13288224
SIRPB2,0.090129435
RASSF2,0.016585065
FERMT1,0.04460424
SPTLC3,0.05445808
AL121782.1,0.32817218
SLC24A3,0.053073317
RIN2,0.047511652
AL133325.3,0.052558657
THBD,0.048033953
CD93,0.28460577
CST3,0.050063234
GGTLC1,0.14636023
SYNDIG1,0.02571333
ACSS1,0.030326704
ID1,0.0638582
COX4I2,0.19367413
FOXS1,0.23481028
HCK,0.06895026
ACTL10,0.035162345
AL050349.1,0.03524118
AL031668.1,0.55505186
PROCR,0.13196564
MYL9,0.072268195
TGM2,0.04374961
KIAA1755,0.055573236
ADIG,0.3368043
MAFB,0.052232176
AL049812.3,0.0759165
ADA,0.035467986
WISP2,0.11771191
SLPI,0.06250592
SDC4,0.07987328
TP53TG5,0.10558907
AL133342.1,0.032870848
SMIM25,0.43416193
NFATC2,0.02805549
TSHZ2,0.058486313
BCAS1,0.031244332
AC005220.1,0.07067106
AL157414.1,0.5665439
PCK1,0.36153135
AL121908.1,0.16069351
C20orf197,0.13078249
SLCO4A1,0.034858607
COL9A3,0.0455094
COL20A1,0.15235601
SOX18,0.10608486
RGS19,0.08684349
PLPP2,0.004790545
CFD,0.09431565
ARHGAP45,0.05067636
CIRBP-AS1,0.25904876
AC005329.3,0.13855343
AC005786.2,0.24122655
EBI3,0.067115806
TMIGD2,0.22985725
PLIN3,0.04570958
ARRDC5,0.02794081
C3,0.030518092
KANK3,0.09378954
ANGPTL4,0.16840208
PRAM1,0.05362347
MYO1F,0.03608027
AC008759.3,0.11482855
COL5A3,0.052534323
S1PR5,0.035350483
ACP5,0.24177249
AC018761.1,0.015040626
JUNB,0.08250818
FARSA-AS1,0.16857545
LYL1,0.02097831
AC022098.1,0.021637054
CLEC17A,0.17666924
ADGRE2,0.016799048
OR7C1,0.24325271
NOTCH3,0.05057724
RASAL3,0.16210012
CYP4F12,0.20061462
KLF2,0.081454374
SMIM7,0.38930178
CPAMD8,0.01833413
AC020913.3,0.0768824
BST2,0.06868458
ARRDC2,0.029364944
HOMER3,0.17228647
NCAN,0.027302006
ZNF98,0.078811176
LINC00906,0.20077662
AC007786.2,0.12927793
AC011478.1,0.2068433
LINC00904,0.09616629
HPN,0.008952639
HPN-AS1,0.012147847
HAMP,0.26204222
MAG,0.0850841
CD22,0.05495316
FFAR1,0.106542416
FFAR3,0.22938259
HCST,0.101496495
TYROBP,0.08217895
ZNF146,0.022716105
SPINT2,0.037200656
PPP1R14A,0.06489893
ACP7,0.052174542
ZFP36,0.084856234
FCGBP,0.18534084
AXL,0.035953064
PCAT19,0.052925035
LINC01480,0.10898993
AC243960.1,0.17345144
CEACAM21,0.06147805
PSG8-AS1,0.01416934
APOE,0.012601796
APOC1,0.08420678
GIPR,0.04945494
HIF3A,0.115010105
SLC1A5,0.086338095
PLA2G4C,0.04965982
CD37,0.10500109
FCGRT,0.019148877
AC020909.2,0.12900536
KLK6,0.03441125
SIGLEC9,0.3083535
SIGLEC7,0.25926837
CD33,0.1419888
AC008750.8,0.3487229
SIGLEC10,0.085936904
SIGLEC8,0.17244864
FPR1,0.012659397
FPR3,0.074010596
ERVV-2,0.21598773
LILRB3,0.21102555
LILRA6,0.06391485
LILRB5,0.4470528
LILRB2,0.056869756
LILRA4,0.12435436
LAIR1,0.034837443
LILRA2,0.13947994
LILRA1,0.10853826
LILRB1,0.13774954
LILRB4,0.06461246
FCAR,0.2850843
AC245128.3,0.2239629
AC008735.4,0.090295434
AC007228.2,0.23398066
AC012313.8,0.15597762
AC012313.7,0.22202204
LINC00278,0.030999104
TTTY4B,0.11865703
IL17RA,0.033304702
CECR2,0.005959554
SLC25A18,0.037656147
LINC00528,0.4003226
AC000068.2,0.0984778
CLDN5,0.098963045
AP000553.3,0.20178221
IGLC3,1.9091874
GGT5,0.07140443
LINC01638,0.40357932
ZNRF3,0.0370172
LIF,0.35062346
OSM,0.050021797
AC005005.3,0.12930693
HMOX1,0.031295322
MCM5,0.053574633
NCF4,0.18363614
CYTH4,0.119391985
MFNG,0.10973475
CDC42EP1,0.014000017
POLR2F,0.02632594
SOX10,0.047467023
AL022322.1,0.13223238
AL022318.1,0.11960864
AL022326.1,0.13764702
CHADL,0.017476417
TNFRSF13C,0.24236214
TSPO,0.018335795
PARVG,0.08018964
FBLN1,0.08739921
BX537318.1,0.16815262
GTSE1-DT,0.17765264
C22orf34,0.058545273
Z97192.1,0.14378743
MLC1,0.02797468
AL022328.1,0.1431153
TYMP,0.21344991
ODF3B,0.27143383
U62317.5,0.15176497
LINC01666,0.22747116
SAMSN1,0.042589772
AF127936.2,0.018492423
C21orf91-OT1,0.11546737
C21orf91,0.01520848
AL109761.1,0.040253546
CHODL,0.005421256
LINC00320,0.07842181
AP001136.1,0.24487583
LINC01687,0.11652506
AP000477.1,0.24150102
LINC01684,0.15158913
ADAMTS1,0.07469312
AP001605.1,0.05373797
AF165147.1,0.062717445
BACH1,0.009556721
GRIK1,0.032782584
C21orf62-AS1,0.056315113
C21orf62,0.10134462
AP000282.1,0.016458621
OLIG2,0.028832996
OLIG1,0.03710771
AP000289.1,0.22862612
CLIC6,0.024975238
RUNX1,0.017773362
CBR1,0.058702603
AP000688.2,0.046020478
ERG,0.018132215
DSCAM,0.032921746
LINC01679,0.46193966
LINC01678,0.05678753
ICOSLG,0.11909857
AP001059.3,0.17983341
AP001059.2,0.066695906
ITGB2,0.04592575
ITGB2-AS1,0.048352126
COL6A2,0.13480367
LSS,0.037745688
S100B,0.05227531
BX004987.1,0.06357937
MAFIP,0.07666481
