gene,importance
DPP10,0.05004413
DPP10-AS2,0.1760655
MARCO,0.10969008
LINC01823,0.26721507
LINC01826,0.065066665
GYPC,0.015389075
GPR17,0.09110249
NCKAP5,0.06832079
AC016909.2,0.1184172
TMEM163,0.064810276
CXCR4,0.22974057
THSD7B,0.047899395
AC114763.1,0.009012236
AC016710.1,0.101568274
KYNU,0.057724882
ARHGAP15,0.01860817
LINC01931,0.102455325
TNFAIP6,0.07037071
GALNT13,0.008636351
ERMN,0.008903149
FIGN,0.055022877
AC016766.1,0.10257731
NOSTRIN,0.014603474
DHRS9,0.12534475
LRP2,0.011726034
CYBRD1,0.049791116
WIPF1,0.03444456
HOXD3,0.46537486
HAGLROS,0.33928147
ZNF804A,0.034071058
TFPI,0.13935022
COL3A1,0.071003556
CAVIN2,0.1371023
RFTN2,0.05720961
LINC01877,0.06253859
AOX1,0.057294544
LINC01792,0.038848907
CASP10,0.06855913
CTLA4,0.15590739
PARD3B,0.008324531
CRYGB,0.22633725
ERBB4,0.043421093
IGFBP5,0.045881003
AC007557.3,0.17961042
SLC11A1,0.07579906
CYP27A1,0.008106149
AC009974.1,0.22774653
KCNE4,0.14552431
C2orf83,0.05745135
CCL20,0.20005548
AC009950.1,0.03991459
SP110,0.013976482
SP100,0.05967462
LINC01907,0.1675154
CHRNG,0.15519221
EFHD1,0.021248952
INPP5D,0.039459858
SH3BP4,0.03826871
AC124861.1,0.18445826
BOK,0.06929631
SLC6A11,0.032765303
SLC6A1-AS1,0.13154036
GALNT15,0.0671088
KAT2B,0.0376109
SGO1,0.12857243
ZNF385D,0.03903133
LRRC3B,0.048779767
EOMES,0.35396484
RBMS3-AS3,0.031784743
TGFBR2,0.06535099
CMTM7,0.0068901666
CX3CR1,0.103666626
CCR8,0.08830088
MOBP,0.02358903
CCK,0.22837698
AC006059.1,0.07530357
HHATL-AS1,0.04062834
CCR1,0.16738553
CCR5,0.4555277
CCRL2,0.18485361
PTH1R,0.05536509
PLXNB1,0.0072730333
SEMA3B,0.085803725
HYAL2,0.0890226
GPR62,0.086963125
SEMA3G,0.05566935
STAB1,0.15911089
ITIH1,0.27716488
PXK,0.0064515863
FAM107A,0.017908728
SYNPR,0.0140360845
ADAMTS9,0.0117177
ADAMTS9-AS2,0.106478296
LRIG1,0.033071887
SUCLG2,0.011714672
FAM19A4,0.0693637
MITF,0.024331003
SAMMSON,0.08100558
LINC00877,0.034220032
LINC00870,0.042664055
AC112219.2,0.12284867
ROBO2,0.014294202
CRYBG3,0.0433401
CPOX,0.04444014
ABI3BP,0.032976598
NFKBIZ,0.019348826
LINC02085,0.049280863
AC063944.1,0.009813364
CCDC54,0.1326806
MORC1,0.070201345
PHLDB2,0.17774065
